본부,지사,염화칼슘사용량,소금사용량,수용액용소금사용량,sum
강원본부,원주지사,389,2177,0,2566
충북본부,제천지사,486,3100,0,3586
부산경남본부,울산지사,91,711,0,802
강원본부,홍천지사,176,2714,0,2890
강원본부,춘천지사,377,4343,0,4720
부산경남본부,고성지사,2,25,0,27
대구경북본부,청송지사,0,3068,0,3068
전북본부,진안지사,414,2349,0,2763
부산경남본부,산청지사,11,622,23,656
수도권본부,경기광주지사,345,1716,0,2061
광주전남본부,담양지사,407,2511,0,2918
전북본부,논산지사,352,2559,0,2911
대전충남본부,공주지사,490,2615,0,3105
충북본부,엄정지사,276,2019,0,2295
충북본부,보은지사,490,2791,0,3281
충북본부,충주지사,161,1527,0,1688
광주전남본부,순천지사,210,1147,0,1357
수도권본부,군포지사,215,1027,0,1242
수도권본부,동서울지사,212,1690,0,1902
전북본부,부안지사,742,3909,0,4651
충북본부,상주지사,239,1386,0,1625
수도권본부,인천지사,321,1647,0,1968
대전충남본부,당진지사,763,3060,0,3823
대전충남본부,부여지사,264,1816,0,2080
전북본부,전주지사,400,2292,0,2692
대구경북본부,대구지사,103,510,0,613
대구경북본부,군위지사,12,1130,48,1190
부산경남본부,서울산지사,69,546,0,615
부산경남본부,양산지사,238,1010,0,1248
충북본부,진천지사,444,2254,0,2698
수도권본부,수원지사,485,1903,0,2388
대전충남본부,천안지사,456,2296,0,2752
부산경남본부,진주지사,81,254,0,335
광주전남본부,보성지사,30,1686,32,1748
대구경북본부,영주지사,212,1808,0,2020
대전충남본부,대전지사,363,2519,0,2882
대구경북본부,고령지사,82,1066,53,1201
강원본부,양양지사,347,3093,0,3440
대전충남본부,영동지사,366,3675,0,4041
대구경북본부,성주지사,5,1441,0,1446
광주전남본부,구례지사,361,1683,0,2044
부산경남본부,창녕지사,67,476,0,543
광주전남본부,남원지사,358,3268,0,3626
전북본부,보령지사,355,2072,0,2427
강원본부,이천지사,824,4536,0,5360
강원본부,대관령지사,673,6594,0,7267
광주전남본부,광주지사,450,2368,0,2818
전북본부,무주지사,337,4541,0,4878
수도권본부,화성지사,520,5309,0,5829
대구경북본부,구미지사,92,819,0,911
대구경북본부,영천지사,283,1335,0,1618
강원본부,강릉지사,334,2329,0,2663
부산경남본부,경주지사,8,216,0,224
광주전남본부,함평지사,845,3878,0,4723
수도권본부,시흥지사,616,4652,0,5268
부산경남본부,창원지사,161,862,0,1023
